,Brand,Color,Touchscreen,Display_size_inches,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera Available,Wi-Fi,Battery Capacity,SmartPhone,X_res,Y_res,Processor,5G,price
686,Infinix,Any Color,1,6.78,Android 12,8,256.0,50.0,1,1,5000,1,2460,1080,Dimensity,1,19999
687,realme,Any Color,1,6.43,Android 13,8,256.0,64.0,1,1,5000,1,2400,1080,Bionic Chip,1,19987
689,Tecno,Any Color,1,6.56,Android 12,4,32.0,13.0,1,1,5000,1,1612,720,Helio,0,6999
690,APPLE,Any Color,1,6.1,Ios,6,128.0,48.0,1,1,5000,1,2556,1179,Bionic Chip,1,119900
692,LAVA,Any Color,0,1.77,Android 12,8,0.0,0.3,1,0,1750,0,128,160,Bionic Chip,0,1387
694,Tecno,Any Color,1,6.67,Android 13,8,128.0,64.0,1,1,5000,1,1080,2400,Dimensity,1,19837
697,vivo,Any Color,1,6.56,Android 12,8,128.0,108.0,1,1,4300,1,2376,1080,Dimensity,1,26899
699,IQOO,Any Color,1,6.78,Android 13,8,256.0,64.0,1,1,5000,1,2400,1080,Dimensity,1,32699
700,Tecno,Any Color,1,6.6,Android 13,2,128.0,50.0,1,1,5000,1,1612,720,Bionic Chip,0,9899
701,APPLE,Blue,1,6.1,Ios,6,256.0,48.0,1,1,5000,1,2556,1179,Bionic Chip,1,89900
703,Infinix,Any Color,1,6.82,Android,8,64.0,50.0,1,1,6000,1,1640,720,Helio,0,9999
704,Google,Any Color,1,6.1,Android 13,8,128.0,64.0,1,1,4300,1,2400,1080,Qualcomm,1,43999
707,Google,Any Color,1,6.1,Android 13,8,128.0,64.0,1,1,4300,1,2400,1080,Qualcomm,1,43999
708,vivo,Any Color,1,6.78,Android 13,8,256.0,50.0,1,1,4600,1,2400,1080,Dimensity,1,39999
709,vivo,Any Color,1,6.78,Android 13,8,256.0,50.0,1,1,4600,1,2400,1080,Dimensity,1,42999
710,APPLE,Any Color,1,6.1,Ios,6,256.0,48.0,1,1,4600,1,2556,1179,Qualcomm,1,144900
712,SAMSUNG,Any Color,1,6.6,Android 13,8,64.0,50.0,1,1,5000,1,2408,1080,Exynos,1,15999
713,Infinix,Any Color,1,6.82,Android,8,64.0,50.0,1,1,6000,1,1640,720,Helio,0,9999
714,realme,Any Color,1,6.7,Android 12,8,256.0,50.0,1,1,5000,1,3216,1440,Snapdragon,1,37999
717,realme,Any Color,1,6.5,Android,8,32.0,50.0,1,1,5000,1,1600,720,Qualcomm,0,5999
719,Google,Any Color,1,6.1,Android 13,8,128.0,64.0,1,1,4300,1,2400,1080,Qualcomm,1,43999
720,APPLE,Any Color,1,6.1,Ios,6,128.0,48.0,1,1,4300,1,2556,1179,Bionic Chip,1,119900
722,APPLE,Any Color,1,6.1,Ios,6,256.0,12.0,1,1,1000,1,2532,1170,Bionic Chip,1,74999
726,SAMSUNG,Any Color,1,6.8,Android 12,8,256.0,108.0,1,1,5000,1,3088,1440,Qualcomm,1,85240
727,Google,Any Color,1,6.1,Android 13,8,128.0,64.0,1,1,4300,1,2400,1080,Qualcomm,1,43999
730,Nothing,Black,1,6.55,Android 12,8,256.0,50.0,1,1,4500,1,2400,1080,Snapdragon,1,42999
731,POCO,Any Color,1,6.67,Android 13,8,256.0,64.0,1,1,5000,1,2400,1080,Snapdragon,1,30999
732,APPLE,Any Color,1,6.7,Ios,6,512.0,12.0,1,1,5000,1,2778,1284,Bionic Chip,1,109999
733,MOTOROLA,Any Color,1,6.5,Android 13,8,256.0,50.0,1,1,4400,1,2400,1080,Dimensity,1,29999
735,vivo,Any Color,1,6.58,Android 12,8,128.0,50.0,1,1,5000,1,2408,1080,Snapdragon,0,16290
736,Infinix,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,1080,2408,Dimensity,1,15321
737,Nothing,Any Color,1,6.55,Android 12,8,256.0,50.0,1,1,4500,1,2400,1080,Snapdragon,1,42999
738,Tecno,Any Color,1,6.56,Android 12,8,64.0,13.0,1,1,5000,1,720,1612,Bionic Chip,0,7489
